district,avg_price,rainfall,month,year
4,1477,108.8,4,2
4,1950,108.8,4,2
4,1705,148.4,5,2
4,1840,148.4,5,2
4,1400,148.4,5,2
4,1850,86.1,6,2
4,1200,86.1,6,2
4,1100,14.0,7,2
4,1400,14.0,7,2
4,1250,68.7,8,2
4,1450,68.7,8,2
4,1300,68.7,8,2
4,1500,68.7,8,2
4,1300,68.7,8,2
4,1950,68.7,8,2
4,1260,135.5,9,2
4,1900,135.5,9,2
4,1200,109.2,10,2
4,1850,109.2,10,2
4,1100,205.9,11,2
4,1000,205.9,11,2
4,1200,0.3,1,2
4,1500,29.3,3,2
4,1100,108.8,4,2
4,1200,14.0,7,2
4,1100,14.0,7,2
5,1400,291.1,7,2
5,1500,0.4,2,2
5,1550,0.4,2,2
5,1600,0.4,2,2
5,1550,0.4,2,2
5,1500,0.4,2,2
5,1500,36.9,3,2
5,1500,36.9,3,2
5,1500,36.9,3,2
5,1500,95.1,4,2
5,1500,95.1,4,2
5,1550,95.1,4,2
5,1550,95.1,4,2
5,1500,95.1,4,2
5,1550,143.2,5,2
5,1500,479.6,6,2
5,1500,479.6,6,2
5,1500,479.6,6,2
5,1500,291.1,7,2
5,1500,291.1,7,2
5,1650,291.1,7,2
5,1600,224.7,8,2
5,1600,224.7,8,2
5,1800,224.7,8,2
5,1650,164.9,9,2
5,1650,164.9,9,2
5,1600,164.9,9,2
5,1650,164.9,9,2
5,1650,164.9,9,2
5,1650,164.9,9,2
5,1650,139.1,10,2
5,1650,139.1,10,2
5,1650,139.1,10,2
5,1650,139.1,10,2
5,1650,111.4,11,2
5,1650,111.4,11,2
5,1600,111.4,11,2
5,1650,111.4,11,2
5,1600,111.4,11,2
5,1650,111.4,11,2
5,1675,111.4,11,2
5,1660,5.6,12,2
5,1650,5.6,12,2
5,1650,5.6,12,2
5,1500,5.6,12,2
5,1500,0.0,1,2
5,1500,0.0,1,2
5,1833,0.4,2,2
5,1600,36.9,3,2
5,1600,95.1,4,2
5,1200,143.2,5,2
5,1238,224.7,8,2
5,1250,139.1,10,2
5,1200,139.1,10,2
5,1300,139.1,10,2
5,1300,111.4,11,2
5,1375,111.4,11,2
5,1271,111.4,11,2
5,1250,111.4,11,2
5,1200,111.4,11,2
5,1200,5.6,12,2
5,1200,5.6,12,2
5,1365,5.6,12,2
5,1400,5.6,12,2
5,1500,5.6,12,2
5,1300,0.0,1,2
5,1300,0.0,1,2
5,1200,0.0,1,2
5,1600,0.0,1,2
5,1400,0.0,1,2
5,1413,0.0,1,2
5,1350,0.0,1,2
5,1400,0.0,1,2
5,1100,0.0,1,2
5,1100,0.0,1,2
5,1700,0.0,1,2
5,1700,0.4,2,2
5,1700,0.4,2,2
5,1500,0.4,2,2
5,1850,0.4,2,2
5,1500,36.9,3,2
5,1850,36.9,3,2
5,1850,36.9,3,2
5,2000,36.9,3,2
5,1300,95.1,4,2
5,1453,95.1,4,2
5,1800,95.1,4,2
5,1400,95.1,4,2
5,1460,95.1,4,2
5,1200,95.1,4,2
5,1600,143.2,5,2
5,1590,143.2,5,2
5,1300,479.6,6,2
5,1200,479.6,6,2
5,1300,479.6,6,2
5,1300,479.6,6,2
5,1750,479.6,6,2
5,1600,479.6,6,2
5,1200,479.6,6,2
5,1300,479.6,6,2
5,1600,291.1,7,2
5,1200,291.1,7,2
5,1400,291.1,7,2
5,1300,224.7,8,2
5,1400,224.7,8,2
5,1334,224.7,8,2
5,1300,224.7,8,2
5,1300,224.7,8,2
5,1300,224.7,8,2
5,1729,224.7,8,2
5,1700,164.9,9,2
5,1100,164.9,9,2
5,1400,164.9,9,2
5,1400,164.9,9,2
5,1225,139.1,10,2
5,1179,139.1,10,2
5,1125,139.1,10,2
5,1200,139.1,10,2
5,1100,139.1,10,2
5,1650,139.1,10,2
5,1200,139.1,10,2
5,1333,139.1,10,2
5,1600,139.1,10,2
5,1250,111.4,11,2
5,1600,111.4,11,2
5,1250,111.4,11,2
5,1200,111.4,11,2
5,1200,111.4,11,2
5,1750,111.4,11,2
5,1400,5.6,12,2
5,1700,5.6,12,2
5,1333,5.6,12,2
5,1350,5.6,12,2
5,1317,139.1,10,2
5,2000,0.0,1,2
5,2000,0.0,1,2
5,2000,0.0,1,2
5,1706,0.0,1,2
5,1260,0.0,1,2
5,1300,0.0,1,2
5,1700,0.0,1,2
5,2000,0.0,1,2
5,2000,0.4,2,2
5,1571,0.4,2,2
5,2000,0.4,2,2
5,2000,0.4,2,2
5,1750,0.4,2,2
5,1300,0.4,2,2
5,1600,0.4,2,2
5,2000,0.4,2,2
5,2000,0.4,2,2
5,2000,36.9,3,2
5,1500,36.9,3,2
5,1500,36.9,3,2
5,1833,36.9,3,2
5,1900,36.9,3,2
5,1400,95.1,4,2
5,2000,95.1,4,2
5,1350,95.1,4,2
5,1400,95.1,4,2
5,1400,95.1,4,2
5,1345,95.1,4,2
5,1360,143.2,5,2
5,1662,143.2,5,2
5,1400,143.2,5,2
5,1429,143.2,5,2
5,1600,143.2,5,2
5,1300,143.2,5,2
5,1400,143.2,5,2
5,1420,143.2,5,2
5,1300,479.6,6,2
5,1400,479.6,6,2
5,1300,479.6,6,2
5,1400,479.6,6,2
5,1250,479.6,6,2
5,1600,291.1,7,2
5,1600,291.1,7,2
5,1600,291.1,7,2
5,1600,291.1,7,2
5,1400,291.1,7,2
5,1400,291.1,7,2
5,1300,224.7,8,2
5,1600,224.7,8,2
5,1666,224.7,8,2
5,1400,224.7,8,2
5,1337,164.9,9,2
5,1250,139.1,10,2
5,1500,139.1,10,2
5,1600,139.1,10,2
5,1467,139.1,10,2
5,1500,111.4,11,2
5,1080,111.4,11,2
5,1500,111.4,11,2
5,1000,111.4,11,2
5,1600,111.4,11,2
5,1600,5.6,12,2
5,1424,5.6,12,2
5,1600,5.6,12,2
6,1250,1.2,12,2
6,1200,54.6,11,2
6,1100,0.4,1,2
6,1100,0.4,1,2
6,1250,0.4,1,2
6,1050,0.0,2,2
6,1050,0.0,2,2
6,1300,0.0,2,2
6,1400,0.0,2,2
6,1100,0.0,2,2
6,1600,0.0,2,2
6,1100,18.1,3,2
6,1100,18.1,3,2
6,1000,18.1,3,2
6,1200,18.1,3,2
6,1508,34.4,4,2
6,1508,74.7,6,2
6,1200,74.7,6,2
6,1200,74.7,6,2
6,1100,74.7,6,2
6,1100,74.7,6,2
6,1200,42.5,7,2
6,1300,42.5,7,2
6,1300,42.5,7,2
6,1400,84.8,8,2
6,1300,84.8,8,2
6,1300,84.8,8,2
6,1300,152.6,9,2
6,1300,152.6,9,2
6,1400,152.6,9,2
6,1300,120.3,10,2
6,1500,120.3,10,2
6,1250,120.3,10,2
6,1200,54.6,11,2
6,1250,54.6,11,2
6,1430,54.6,11,2
6,1430,54.6,11,2
6,1500,1.2,12,2
7,1550,0.7,12,2
7,1750,6.8,3,2
7,1650,30.7,4,2
7,1850,30.7,4,2
7,1650,130.0,5,2
7,1450,130.0,5,2
7,1950,130.0,5,2
7,1650,93.3,6,2
7,1550,93.3,6,2
7,1550,85.4,8,2
7,1500,85.4,8,2
7,1450,85.4,8,2
7,1300,85.4,8,2
7,1300,149.2,9,2
7,1300,149.2,9,2
7,1400,89.4,10,2
7,1500,89.4,10,2
7,1300,89.4,10,2
7,1300,41.6,11,2
7,1300,0.7,12,2
7,1350,0.8,1,2
7,1000,0.0,2,2
7,1000,0.0,2,2
7,1380,0.0,2,2
7,1310,0.0,2,2
7,1326,0.0,2,2
7,1318,0.0,2,2
7,1272,0.0,2,2
7,1320,0.0,2,2
7,1400,0.0,2,2
7,1000,0.0,2,2
7,1475,6.8,3,2
7,1437,6.8,3,2
7,1446,6.8,3,2
7,1525,6.8,3,2
7,1300,6.8,3,2
7,1375,6.8,3,2
7,1518,30.7,4,2
7,1100,30.7,4,2
7,1375,130.0,5,2
7,1340,130.0,5,2
7,1397,130.0,5,2
7,1300,93.3,6,2
7,1134,93.3,6,2
7,1390,93.3,6,2
7,1462,93.3,6,2
7,1060,93.3,6,2
7,1450,93.3,6,2
7,1395,93.3,6,2
7,1050,79.2,7,2
7,1400,79.2,7,2
7,1174,79.2,7,2
7,1187,85.4,8,2
7,1270,85.4,8,2
7,1240,85.4,8,2
7,1285,85.4,8,2
7,1246,85.4,8,2
7,1436,85.4,8,2
7,1339,85.4,8,2
7,1357,85.4,8,2
7,1351,85.4,8,2
7,1402,85.4,8,2
7,1412,85.4,8,2
7,1452,85.4,8,2
7,1520,85.4,8,2
7,1395,149.2,9,2
7,1412,149.2,9,2
7,1377,149.2,9,2
7,1481,149.2,9,2
7,1450,149.2,9,2
7,1415,149.2,9,2
7,1415,149.2,9,2
7,1371,89.4,10,2
7,1414,89.4,10,2
7,1364,89.4,10,2
7,1316,89.4,10,2
9,704,1.8,12,2
9,704,43.8,3,2
9,761,19.2,4,2
9,539,46.2,5,2
9,711,88.6,6,2
9,1451,10.0,7,2
10,1500,6.0,12,2
10,1490,0.9,1,2
10,1600,0.9,1,2
10,1400,0.9,1,2
10,1450,0.9,1,2
10,1627,0.9,1,2
10,1500,0.9,1,2
10,1400,0.9,1,2
10,1470,0.9,1,2
10,1300,0.9,1,2
10,1460,0.9,1,2
10,1450,0.9,1,2
10,1440,0.9,1,2
10,1200,0.9,1,2
10,1200,0.9,1,2
10,1360,0.9,1,2
