Punjab,Sangrur,Bhawanigarh,Other,Pulses,1.50,700,1000,800,12 Jan 2008
Rajasthan,Kota,Kota,Other,Pulses,0.80,1000,1000,1000,12 Jan 2008
Rajasthan,Kota,Kota (FV),Other,Pulses,44.00,600,800,700,12 Jan 2008
Rajasthan,Nagaur,Degana,Other,Pulses,13.00,2085,2121,2100,12 Jan 2008
Uttar Pradesh,Fatehpur,Bindki,Other,Pulses,21.00,450,500,474,12 Jan 2008
Uttar Pradesh,Fatehpur,Jahanabad,Other,Pulses,3.00,480,500,490,12 Jan 2008
Uttar Pradesh,Lucknow,Lucknow,Other,Pulses,22.00,0,0,2025,12 Jan 2008
Uttrakhand,UdhamSinghNagar,Kicchha,Green Peas,Pulses,33.60,550,650,600,12 Jan 2008
Jharkhand,Giridih,Giridih,Green Peas,Pulses,1.00,1900,2000,2000,13 Jan 2008
Maharashtra,Pune,Junnar(Otur),Other,Pulses,72.30,300,1100,850,13 Jan 2008
NCT of Delhi,Delhi,Shahdara,Other,Pulses,133.10,700,900,800,13 Jan 2008
Punjab,Jalandhar,Shahkot,Other,Pulses,0.50,800,1200,1000,13 Jan 2008
Punjab,Sangrur,Bhawanigarh,Other,Pulses,1.20,600,800,700,13 Jan 2008
Rajasthan,Kota,Kota (FV),Other,Pulses,36.00,600,800,700,13 Jan 2008
Uttar Pradesh,Fatehpur,Bindki,Other,Pulses,6.00,460,500,476,13 Jan 2008
Uttar Pradesh,Fatehpur,Jahanabad,Other,Pulses,3.00,490,500,490,13 Jan 2008
Uttrakhand,UdhamSinghNagar,Kicchha,Green Peas,Pulses,5.50,500,600,560,13 Jan 2008
Haryana,Ambala,Naraingarh,Other,Pulses,0.91,700,800,750,14 Jan 2008
Haryana,Hissar,Uklana,Green Peas,Pulses,12.00,1000,1000,1000,14 Jan 2008
Jammu and Kashmir,Jammu,Jammu (Grain Mandi),Other,Pulses,14.00,2550,2650,2600,14 Jan 2008
